geneID	gff_annotation	gff_annotation.1
106096578	LOC106096578	cationic trypsin-3%2C transcript variant X2
106096580	LOC106096580	cytochrome P450 3A30%2C transcript variant X1
106096583	LOC106096583	B- and T-lymphocyte attenuator
106096584	LOC106096584	OX-2 membrane glycoprotein
106096585	LOC106096585	OX-2 membrane glycoprotein%2C transcript variant X2
106096586	LOC106096586	OX-2 membrane glycoprotein
106096587	LOC106096587	uncharacterized LOC106096587
106096589	LOC106096589	uncharacterized LOC106096589
106096590	LOC106096590	uncharacterized LOC106096590%2C transcript variant X2
106096591	LOC106096591	uncharacterized LOC106096591%2C transcript variant X2
106096592	LOC106096592	uncharacterized LOC106096592
106096593	LOC106096593	piggyBac transposable element-derived protein 4-like
106096594	mef2c	myocyte enhancer factor 2C%2C transcript variant X3
106096595	LOC106096595	uncharacterized LOC106096595%2C transcript variant X2
106096596	LOC106096596	uncharacterized LOC106096596
106096597	LOC106096597	uncharacterized LOC106096597
106096598	specc1	sperm antigen with calponin homology and coiled-coil domains 1%2C transcript variant X9
106096599	LOC106096599	uncharacterized LOC106096599
106096600	LOC106096600	uncharacterized LOC109195543
106096601	LOC106096601	uncharacterized LOC106096601
106096603	LOC106096603	uncharacterized LOC106096603%2C transcript variant X2
106096604	LOC106096604	uncharacterized LOC106096604
106096605	LOC106096605	uncharacterized LOC106096605
106096608	LOC106096608	uncharacterized LOC106096608%2C transcript variant X3
106096609	LOC106096609	uncharacterized LOC106096609
106096614	LOC106096614	V-set domain containing T-cell activation inhibitor 1
106096615	LOC106096615	HERV-H LTR-associating protein 2
106096616	LOC106096616	uncharacterized LOC106096616%2C transcript variant X2
106096618	LOC106096618	uncharacterized LOC106096618
106096619	LOC106096619	uncharacterized LOC106096619
106096620	LOC106096620	gamma-crystallin M3
106096621	LOC106096621	uncharacterized LOC106096621
106096622	LOC106096622	uncharacterized LOC106096622
106096627	LOC106096627	uncharacterized LOC106096627
106096629	LOC106096629	C-type lectin domain family 17%2C member A%2C transcript variant X2
106096631	LOC106096631	uncharacterized LOC106096631
106096632	LOC106096632	butyrophilin subfamily 1 member A1
106096633	LOC106096633	uncharacterized LOC106096633
106096634	LOC106096634	uncharacterized LOC106096634%2C transcript variant X1
106096638	LOC106096638	coiled-coil domain-containing protein 106-like
106096640	LOC106096640	uncharacterized LOC106096640
106096641	LOC106096641	uncharacterized LOC106096641
106096644	pet117	PET117 homolog
106096645	LOC106096645	uncharacterized LOC106096645%2C transcript variant X1
106096646	LOC106096646	uncharacterized LOC106096646%2C transcript variant X1
106096647	LOC106096647	uncharacterized LOC106096647
106096648	LOC106096648	voltage-dependent T-type calcium channel subunit alpha-1I
106096650	rbbp8	RB binding protein 8%2C endonuclease%2C transcript variant X3
106096651	LOC106096651	uncharacterized LOC106096651
106096652	LOC106096652	uncharacterized LOC106096652%2C transcript variant X6
106096653	LOC106096653	flocculation protein FLO11
106096657	LOC106096657	protein NLRC3-like
106096658	LOC106096658	uncharacterized LOC106096658
106096659	LOC106096659	uncharacterized LOC106096659
106096661	LOC106096661	uncharacterized LOC106096661
106096662	LOC106096662	uncharacterized LOC106096662
106096663	LOC106096663	plasminogen isoform X2
106096664	LOC106096664	uncharacterized protein LOC109194809 isoform X1
106096666	LOC106096666	uncharacterized LOC106096666%2C transcript variant X8
106096667	LOC106096667	uncharacterized LOC106096667
106096668	LOC106096668	uncharacterized LOC106096668
106096671	LOC106096671	transmembrane 4 L6 family member 5
106096673	LOC106096673	uncharacterized LOC106096673
106096674	LOC106096674	enolase-phosphatase E1%2C transcript variant X2
106096675	LOC106096675	NACHT%2C LRR and PYD domains-containing protein 14-like
106096678	LOC106096678	uncharacterized LOC106096678
106096679	LOC106096679	uncharacterized LOC106096679
106096685	LOC106096685	zinc finger protein 420%2C transcript variant X2
106096686	LOC106096686	uncharacterized LOC106096686
106096687	LOC106096687	uncharacterized LOC106096687
106096688	LOC106096688	zinc finger protein 430-like
106096689	LOC106096689	uncharacterized LOC106096689
106096692	LOC106096692	olfactory receptor 10AD1-like
106096694	LOC106096694	uncharacterized LOC106096694
106096695	LOC106096695	uncharacterized LOC106096695%2C transcript variant X2
106096696	LOC106096696	uncharacterized LOC106096696
106096697	LOC106096697	uncharacterized LOC106096697
106096698	LOC106096698	hepatitis A virus cellular receptor 1 homolog
106096699	LOC106096699	uncharacterized LOC106096699
106096700	LOC106096700	CUE domain-containing protein 1 isoform X2
106096701	LOC106096701	AT-rich interactive domain-containing protein 3A
106096704	LOC106096704	uncharacterized LOC106096704
106096706	LOC106096706	uncharacterized LOC106096706
106096708	LOC106096708	uncharacterized LOC106096708%2C transcript variant X2
106096711	LOC106096711	uncharacterized protein LOC109202058
106096712	LOC106096712	uncharacterized protein LOC109202056
106096713	LOC106096713	uncharacterized LOC106096713
106096721	LOC106096721	uncharacterized protein LOC102083129
106096722	LOC106096722	Ig heavy chain V region 914-like
106096725	LOC106096725	Ig heavy chain V region 914-like
106096726	LOC106096726	uncharacterized protein LOC102081114
106096728	LOC106096728	immunoglobulin heavy variable 3-33-like
106096729	LOC106096729	uncharacterized LOC102076531
106096731	LOC106096731	uncharacterized LOC106096731
106096732	LOC106096732	uncharacterized LOC106096732%2C transcript variant X2
106096733	LOC106096733	uncharacterized LOC106096733
106096734	LOC106096734	ZP domain-containing protein-like
106096735	LOC106096735	uncharacterized LOC106096735
106096736	LOC106096736	NACHT%2C LRR and PYD domains-containing protein 12%2C transcript variant X3
106096737	LOC106096737	uncharacterized LOC106096737
106096744	LOC106096744	uncharacterized LOC106096744
106096745	LOC106096745	uncharacterized LOC106096745
106096746	fam133b	family with sequence similarity 133 member B%2C transcript variant X2
106096747	LOC106096747	uncharacterized LOC106096747
106096748	LOC106096748	uncharacterized LOC106096748
106096749	LOC106096749	complement C1q-like protein 4
106096750	LOC106096750	uncharacterized LOC106096750%2C transcript variant X1
106096751	LOC106096751	uncharacterized LOC106096751%2C transcript variant X1
106096754	LOC106096754	hepatitis A virus cellular receptor 2 homolog%2C transcript variant X1
106096755	LOC106096755	uncharacterized LOC106096755
106096756	LOC106096756	uncharacterized LOC106096756
106096757	LOC106096757	uncharacterized LOC106096757
106096759	LOC106096759	uncharacterized LOC106096759
106096760	LOC106096760	uncharacterized LOC106096760%2C transcript variant X1
106096761	LOC106096761	GTPase IMAP family member 7-like
106096763	LOC106096763	uncharacterized LOC106096763
106096764	LOC106096764	uncharacterized LOC106096764%2C transcript variant X1
106096765	LOC106096765	uncharacterized LOC106096765
106096766	LOC106096766	proteinase-activated receptor 1-like%2C transcript variant X3
106096767	LOC106096767	uncharacterized LOC106096767%2C transcript variant X8
106096768	LOC106096768	uncharacterized LOC106096768
106096770	LOC106096770	uncharacterized LOC106096770
106096778	LOC106096778	uncharacterized LOC106096778%2C transcript variant X1
106096780	LOC106096780	uncharacterized LOC106096780
106096783	LOC106096783	NACHT%2C LRR and PYD domains-containing protein 12
106096786	LOC106096786	ribonuclease inhibitor
106096789	LOC106096789	ribonuclease inhibitor-like
106096791	LOC106096791	solute carrier family 22 member 14
106096792	LOC106096792	uncharacterized LOC106096792
106096793	LOC106096793	peroxisomal trans-2-enoyl-CoA reductase
106096794	LOC106096794	UDP-glucuronosyltransferase-like
106096795	LOC106096795	ankyrin repeat domain-containing protein 46%2C transcript variant X3
106096796	LOC106096796	uncharacterized LOC106096796%2C transcript variant X3
106096797	LOC106096797	uncharacterized LOC106096797
106096802	LOC106096802	uncharacterized LOC106096802%2C transcript variant X2
106096803	LOC106096803	uncharacterized LOC106096803
106096804	LOC106096804	uncharacterized LOC106096804
106096805	LOC106096805	uncharacterized LOC106096805
106096806	LOC106096806	uncharacterized LOC106096806
106096808	LOC106096808	olfactory receptor 1500-like
106096809	LOC106096809	uncharacterized LOC106096809
106096811	LOC106096811	ubiquitin-associated and SH3 domain-containing protein B%2C transcript variant X1
106096812	LOC106096812	uncharacterized LOC106096812
106096813	LOC106096813	uncharacterized LOC106096813
106096814	LOC106096814	trithorax group protein osa%2C transcript variant X1
106096817	LOC106096817	olfactory receptor 52E4-like
106096818	LOC106096818	apoptosis-associated speck-like protein containing a CARD
106096819	LOC106096819	SLAM family member 7-like
106096821	LOC106096821	uncharacterized LOC106096821
106096822	LOC106096822	uncharacterized LOC106096822
106096824	LOC106096824	troponin I%2C fast skeletal muscle
106096825	LOC106096825	Fc receptor-like protein 5%2C transcript variant X1
106096829	LOC106096829	uncharacterized LOC106096829%2C transcript variant X2
106096830	LOC106096830	low affinity immunoglobulin gamma Fc region receptor II-a
106096831	LOC106096831	uncharacterized LOC106096831
106096833	LOC106096833	uncharacterized LOC106096833
106096834	LOC106096834	uncharacterized LOC106096834
106096837	LOC106096837	NACHT%2C LRR and PYD domains-containing protein 12-like
106096838	LOC106096838	protein NLRC3-like
106096840	LOC106096840	uncharacterized LOC106096840
106096844	LOC106096844	retrovirus-related Pol polyprotein from transposon 17.6%2C transcript variant X3
106096845	LOC106096845	CD63 antigen-like%2C transcript variant X1
106096846	LOC106096846	perforin-1
106096847	LOC106096847	perforin-1-like
106096848	LOC106096848	uncharacterized LOC106096848
106096852	LOC106096852	ribonuclease inhibitor
106096856	LOC106096856	uncharacterized LOC106096856
106096857	LOC106096857	uncharacterized LOC106096857
106096858	LOC106096858	prothrombin
106096859	LOC106096859	uncharacterized LOC106096859
106096861	LOC106096861	nascent polypeptide-associated complex subunit alpha%2C muscle-specific form-like
106096862	LOC106096862	zinc finger CCHC domain-containing protein 12
106096863	LOC106096863	CD276 antigen%2C transcript variant X1
106096864	LOC106096864	uncharacterized LOC106096864
106096866	LOC106096866	uncharacterized LOC106096866
106096867	LOC106096867	uncharacterized LOC106096867%2C transcript variant X1
106096873	LOC106096873	uncharacterized LOC106096873
106096876	LOC106096876	protein starmaker-like%2C transcript variant X2
106096878	LOC106096878	butyrophilin subfamily 3 member A2-like%2C transcript variant X1
106096879	LOC106096879	meiosis-specific nuclear structural protein 1-like
106096880	LOC106096880	high affinity immunoglobulin gamma Fc receptor I
106096881	LOC106096881	uncharacterized LOC106096881
106096882	LOC106096882	uncharacterized LOC106096882%2C transcript variant X1
106096884	LOC106096884	zinc-binding protein A33
106096885	LOC106096885	low affinity immunoglobulin gamma Fc region receptor II
106096888	LOC106096888	uncharacterized LOC106096888
106096890	LOC106096890	uncharacterized LOC106096890
106096891	LOC106096891	sialic acid-binding Ig-like lectin 12 precursor
106096892	LOC106096892	sialic acid-binding Ig-like lectin 7
106096893	LOC106096893	myelin-associated glycoprotein%2C transcript variant X2
106096894	LOC106096894	sialic acid-binding Ig-like lectin 7
106096896	LOC106096896	uncharacterized LOC106096896
106096897	LOC106096897	myelin-associated glycoprotein
106096898	LOC106096898	sialoadhesin
106096899	LOC106096899	sialic acid-binding Ig-like lectin 7
106096900	LOC106096900	uncharacterized LOC106096900%2C transcript variant X1
106096901	LOC106096901	uncharacterized LOC106096901
106096904	LOC106096904	uncharacterized LOC106096904
106096905	LOC106096905	protein NLRC3-like
106096908	LOC106096908	protein NLRC3
106096909	LOC106096909	uncharacterized LOC106096909
106096910	LOC106096910	arachidonate 12-lipoxygenase%2C 12R-type-like
106096911	LOC106096911	NACHT%2C LRR and PYD domains-containing protein 3
106096912	LOC106096912	uncharacterized LOC106096912
106096913	LOC106096913	uncharacterized LOC106096913
106096914	LOC106096914	uncharacterized LOC106096914
106096915	LOC106096915	uncharacterized LOC106096915%2C transcript variant X2
106096916	LOC106096916	uncharacterized LOC106096916
106096917	LOC106096917	uncharacterized LOC106096917
106096919	LOC106096919	tripartite motif-containing protein 16-like
106096923	LOC106096923	OX-2 membrane glycoprotein
106096924	LOC106096924	OX-2 membrane glycoprotein
106096926	LOC106096926	C-X-C chemokine receptor type 2%2C transcript variant X2
106096927	LOC106096927	uncharacterized LOC106096927
106096928	LOC106096928	uncharacterized LOC106096928
106096933	LOC106096933	zinc finger protein 664%2C transcript variant X1
106096934	LOC106096934	uncharacterized LOC106096934
106096935	LOC106096935	uncharacterized LOC106096935
106096937	LOC106096937	cytochrome c oxidase subunit 8A%2C mitochondrial
106096938	LOC106096938	uncharacterized LOC106096938%2C transcript variant X2
106096939	LOC106096939	uncharacterized LOC106096939
106096942	LOC106096942	uncharacterized LOC106096942
106096943	LOC106096943	tripartite motif-containing protein 16-like
106096944	LOC106096944	zinc finger protein OZF-like
106096945	LOC106096945	Fc receptor-like protein 5
106096946	LOC106096946	leucine-rich alpha-2-glycoprotein%2C transcript variant X1
106096947	LOC106096947	uncharacterized LOC106096947
106096950	LOC106096950	CD209 antigen-like
106096951	LOC106096951	uncharacterized LOC106096951%2C transcript variant X1
106096952	LOC106096952	uncharacterized LOC106096952
106096953	LOC106096953	triadin
106096954	LOC106096954	uncharacterized LOC106096954
106096955	LOC106096955	uncharacterized LOC106096955
106096957	LOC106096957	uncharacterized LOC106096957%2C transcript variant X2
106096958	LOC106096958	uncharacterized LOC106096958%2C transcript variant X1
106096959	LOC106096959	titin%2C transcript variant X2
106096960	LOC106096960	general transcription factor II-I repeat domain-containing protein 2B
106096961	LOC106096961	uncharacterized LOC109204375
106096963	LOC106096963	protein SMG9-like%2C transcript variant X3
106096965	LOC106096965	dehydrogenase/reductase SDR family member 13
106096967	LOC106096967	class II histocompatibility antigen%2C B-L beta chain%2C transcript variant X3
106096968	LOC106096968	nuclear factor 7%2C ovary-like
106096969	LOC106096969	nuclear factor 7%2C brain-like
106096970	LOC106096970	nuclear factor 7%2C brain
106096971	LOC106096971	uncharacterized LOC106096971
106096973	LOC106096973	uncharacterized LOC106096973
106096974	LOC106096974	interferon-induced protein with tetratricopeptide repeats 1%2C transcript variant X1
106096976	LOC106096976	interferon-induced protein with tetratricopeptide repeats 5%2C transcript variant X4
106096977	LOC106096977	uncharacterized LOC106096977
106096978	LOC106096978	CD276 antigen homolog
106096980	LOC106096980	uncharacterized LOC106096980
106096982	LOC106096982	high affinity immunoglobulin epsilon receptor subunit alpha-like%2C transcript variant X2
106096983	LOC106096983	uncharacterized LOC106096983%2C transcript variant X3
106096984	LOC106096984	uncharacterized LOC106096984
106096985	LOC106096985	uncharacterized LOC106096985
106096986	LOC106096986	uncharacterized LOC106096986
106096988	LOC106096988	uncharacterized LOC106096988
106096990	LOC106096990	GTPase IMAP family member 5
106096991	LOC106096991	protein NLRC3-like
106096992	LOC106096992	uncharacterized LOC106096992
106096994	LOC106096994	uncharacterized LOC106096994
106096995	LOC106096995	uncharacterized LOC106096995
106096996	LOC106096996	elongation factor 1-alpha
106096997	LOC106096997	uncharacterized LOC106096997%2C transcript variant X1
106096998	LOC106096998	uncharacterized LOC106096998%2C transcript variant X2
106096999	LOC106096999	uncharacterized LOC106096999%2C transcript variant X1
106097000	LOC106097000	C-type lectin domain family 4 member E
106097001	LOC106097001	uncharacterized LOC106097001
106097004	LOC106097004	cytochrome P450 2J2%2C transcript variant X2
106097006	LOC106097006	uncharacterized LOC106097006%2C transcript variant X1
106097008	LOC106097008	uncharacterized LOC106097008
106097009	LOC106097009	endonuclease domain-containing 1 protein-like%2C transcript variant X2
106097012	LOC106097012	uncharacterized LOC106097012
106097016	LOC106097016	uncharacterized LOC106097016%2C transcript variant X2
106097018	LOC106097018	ribonuclease inhibitor-like
106097019	LOC106097019	neoverrucotoxin subunit beta-like
106097021	LOC106097021	uncharacterized LOC106097021%2C transcript variant X6
106097022	LOC106097022	uncharacterized LOC106097022
106097024	LOC106097024	cytochrome P450 2J6
106097025	LOC106097025	GTPase IMAP family member 7-like
106097026	LOC106097026	uncharacterized LOC106097026
106097028	LOC106097028	complement C1q tumor necrosis factor-related protein 3%2C transcript variant X2
106097029	LOC106097029	uncharacterized LOC106097029%2C transcript variant X1
106097030	LOC106097030	protein PLANT CADMIUM RESISTANCE 2-like
106097031	LOC106097031	cornifelin homolog B%2C transcript variant X2
106097033	gabarap	GABA type A receptor-associated protein
106097035	LOC106097035	uncharacterized LOC106097035
106097036	LOC106097036	uncharacterized LOC106097036
106097037	LOC106097037	uncharacterized LOC106097037
106097038	LOC106097038	uncharacterized LOC106097038%2C transcript variant X15
106097042	LOC106097042	uncharacterized LOC106097042%2C transcript variant X2
106097043	LOC106097043	transposon Tf2-1 polyprotein
106097044	LOC106097044	protein NLRC3-like
106097045	LOC106097045	uncharacterized LOC106097045
106097047	LOC106097047	Ig kappa chain V region 3381-like
106097048	LOC106097048	uncharacterized LOC106097048
106097050	LOC106097050	uncharacterized LOC106097050
106097051	LOC106097051	uncharacterized LOC106097051%2C transcript variant X2
106097052	LOC106097052	uncharacterized LOC106097052%2C transcript variant X2
106097053	LOC106097053	uncharacterized LOC106097053
106097055	LOC106097055	hyaluronan and proteoglycan link protein 4%2C transcript variant X1
106097062	LOC106097062	uncharacterized LOC106097062
106097064	LOC106097064	uncharacterized LOC106097064
106097065	LOC106097065	uncharacterized LOC106097065
106097067	LOC106097067	uncharacterized LOC106097067%2C transcript variant X2
106097068	LOC106097068	cytochrome P450 2J6%2C transcript variant X2
106097069	LOC106097069	cell surface A33 antigen-like
106097071	LOC106097071	uncharacterized LOC106097071
106097072	LOC106097072	vitamin D3 hydroxylase-associated protein
106097074	LOC106097074	zinc finger protein 664%2C transcript variant X6
106097077	LOC106097077	uncharacterized LOC106097077
106097078	LOC106097078	uncharacterized LOC106097078
106097079	LOC106097079	uncharacterized LOC106097079%2C transcript variant X1
106097080	LOC106097080	uncharacterized LOC106097080
106097082	LOC106097082	uncharacterized LOC106097082%2C transcript variant X1
106097084	LOC106097084	transient receptor potential cation channel subfamily M member 1%2C transcript variant X2
106097085	LOC106097085	Ig gamma-2A chain C region%2C membrane-bound form-like
106097086	LOC106097086	uncharacterized protein LOC106097080
106097087	LOC106097087	uncharacterized LOC106097087%2C transcript variant X2
106097088	LOC106097088	uncharacterized LOC106097088
106097089	LOC106097089	uncharacterized protein LOC106097088
106097090	LOC106097090	sodium channel subunit beta-3
106097092	LOC106097092	uncharacterized LOC106097092
106097094	LOC106097094	uncharacterized LOC106097094
106097095	LOC106097095	uncharacterized LOC106097095
106097096	LOC106097096	uncharacterized LOC106097096
106097097	LOC106097097	uncharacterized LOC106097097
106097098	LOC106097098	V-set domain-containing T-cell activation inhibitor 1
106097099	LOC106097099	uncharacterized LOC106097099
106097100	LOC106097100	V-set domain-containing T-cell activation inhibitor 1-like
106097101	LOC106097101	programmed cell death 1 ligand 1-like
106097102	LOC106097102	V-set domain-containing T-cell activation inhibitor 1
106097103	LOC106097103	uncharacterized LOC106097103
106097106	LOC106097106	uncharacterized LOC106097106
106097107	LOC106097107	uncharacterized LOC106097107
106097108	LOC106097108	uncharacterized LOC106097108
106097109	LOC106097109	E3 ubiquitin/ISG15 ligase TRIM25-like
106097113	LOC106097113	tripartite motif-containing protein 16-like
106097114	LOC106097114	tripartite motif-containing protein 16-like
106097115	LOC106097115	tripartite motif-containing protein 16-like protein
106097116	LOC106097116	butyrophilin-like protein 2%2C transcript variant X2
106097119	LOC106097119	uncharacterized LOC106097119
106097120	LOC106097120	high affinity immunoglobulin epsilon receptor subunit alpha-like%2C transcript variant X1
106097122	LOC106097122	uncharacterized LOC106097122
106097123	LOC106097123	uncharacterized LOC106097123
106097125	LOC106097125	uncharacterized LOC106097125%2C transcript variant X1
106097126	LOC106097126	alpha-1%2C3-galactosyltransferase 2-like
106097127	LOC106097127	structural maintenance of chromosomes protein 3%2C transcript variant X1
106097128	LOC106097128	P2Y purinoceptor 14-like
106097129	LOC106097129	protein FAM110B%2C transcript variant X2
106097130	LOC106097130	uncharacterized LOC106097130
106097131	LOC106097131	uncharacterized LOC106097131%2C transcript variant X2
106097132	LOC106097132	general transcription factor II-I repeat domain-containing protein 2-like
106097136	LOC106097136	CD226 antigen
106097141	LOC106097141	protein NLRC3-like
106097142	LOC106097142	uncharacterized LOC106097142
106097143	LOC106097143	uncharacterized LOC106097143
106097144	LOC106097144	uncharacterized LOC106097144
106097145	LOC106097145	uncharacterized LOC106097145
106097148	LOC106097148	uncharacterized LOC106097148
106097151	LOC106097151	uncharacterized LOC106097151
106097152	LOC106097152	uncharacterized LOC106097152%2C transcript variant X1
106097153	LOC106097153	cell surface A33 antigen
106097154	LOC106097154	uncharacterized LOC106097154
106097156	LOC106097156	apoptotic chromatin condensation inducer in the nucleus%2C transcript variant X3
106097158	LOC106097158	uncharacterized LOC106097158
106097159	LOC106097159	low affinity immunoglobulin gamma Fc region receptor II
106097160	LOC106097160	uncharacterized LOC106097160
106097161	LOC106097161	E3 ubiquitin-protein ligase TRIM39
106097162	LOC106097162	retrovirus-related Pol polyprotein from transposon 412
106097163	LOC106097163	uncharacterized LOC106097163
106097165	LOC106097165	uncharacterized LOC106097165
106097166	LOC106097166	uncharacterized LOC106097166%2C transcript variant X3
106097167	LOC106097167	zinc finger protein 227-like
106097170	LOC106097170	V-set and immunoglobulin domain-containing protein 1%2C transcript variant X1
106097174	LOC106097174	uncharacterized LOC106097174
106097176	LOC106097176	Ig kappa chain V region 3547-like
106097177	LOC106097177	uncharacterized LOC106097177%2C transcript variant X3
106097178	LOC106097178	NACHT%2C LRR and PYD domains-containing protein 12%2C transcript variant X3
106097179	LOC106097179	uncharacterized LOC106097179%2C transcript variant X1
106097180	LOC106097180	uncharacterized LOC106097180
106097181	LOC106097181	alpha-2-macroglobulin-like
106097188	LOC106097188	uncharacterized LOC106097188
106097189	LOC106097189	uncharacterized LOC106097189
106097191	LOC106097191	uncharacterized LOC106097191
106097192	LOC106097192	uncharacterized LOC106097192
106097194	LOC106097194	CD226 antigen
106097195	LOC106097195	uncharacterized LOC106097195
106097196	LOC106097196	uncharacterized LOC106097196%2C transcript variant X2
106097198	LOC106097198	uncharacterized LOC106097198
106097202	LOC106097202	uncharacterized LOC106097202
106097203	LOC106097203	interleukin-2 receptor subunit beta%2C transcript variant X1
106097206	LOC106097206	uncharacterized LOC106097206%2C transcript variant X2
106097207	LOC106097207	MDS1 and EVI1 complex locus protein EVI1%2C transcript variant X1
106097209	bcl2l12	BCL2 like 12%2C transcript variant X3
106097210	LOC106097210	uncharacterized LOC106097210
106097211	LOC106097211	uncharacterized LOC106097211
106097212	LOC106097212	T-lymphocyte activation antigen CD86-like%2C transcript variant X3
106097216	LOC106097216	transposon Tf2-1 polyprotein%2C transcript variant X1
106097218	LOC106097218	uncharacterized LOC106097218
106097219	LOC106097219	uncharacterized LOC106097219
106097220	LOC106097220	uncharacterized LOC106097220%2C transcript variant X2
106097221	LOC106097221	uncharacterized LOC106097221
106097222	LOC106097222	macrophage mannose receptor 1%2C transcript variant X2
106097224	LOC106097224	uncharacterized LOC106097224
106097225	LOC106097225	uncharacterized LOC106097225%2C transcript variant X1
106097226	LOC106097226	uncharacterized protein LOC102082942
106097228	LOC106097228	uncharacterized LOC106097228
106097231	LOC106097231	uncharacterized LOC106097231
106097232	LOC106097232	uncharacterized LOC106097232
106097233	LOC106097233	uncharacterized LOC106097233%2C transcript variant X1
106097234	LOC106097234	scavenger receptor cysteine-rich type 1 protein M130
106097235	LOC106097235	NACHT%2C LRR and PYD domains-containing protein 3%2C transcript variant X5
106097236	LOC106097236	uncharacterized LOC106097236%2C transcript variant X2
106097237	LOC106097237	major histocompatibility complex class I-related gene protein-like
106097240	LOC106097240	uncharacterized LOC106097240
106097241	LOC106097241	uncharacterized LOC106097241
106097243	LOC106097243	uncharacterized LOC106097243
106097244	LOC106097244	GTPase IMAP family member 8-like
106097246	LOC106097246	sialoadhesin-like
106097248	LOC106097248	uncharacterized LOC106097248%2C transcript variant X1
106097249	LOC106097249	uncharacterized LOC106097249%2C transcript variant X2
106097251	LOC106097251	zinc finger protein OZF%2C transcript variant X4
106097252	LOC106097252	zinc finger protein 2 homolog
106097255	LOC106097255	uncharacterized LOC106097255%2C transcript variant X5
106097260	luzp1	leucine zipper protein 1%2C transcript variant X1
106097261	LOC106097261	uncharacterized LOC106097261
106097262	LOC106097262	uncharacterized LOC106097262
106097265	LOC106097265	butyrophilin-like protein 2
106097267	LOC106097267	uncharacterized LOC106097267
106097268	LOC106097268	caspase-12-like
106097274	LOC106097274	uncharacterized LOC106097274
106097275	LOC106097275	Fc receptor-like protein 5%2C transcript variant X2
106097278	LOC106097278	uncharacterized LOC106097278
106097279	LOC106097279	ribonuclease inhibitor-like
106097280	LOC106097280	uncharacterized LOC106097280
106097282	LOC106097282	uncharacterized LOC106097282
106097283	LOC106097283	B-cell receptor CD22%2C transcript variant X3
106097284	LOC106097284	sialoadhesin%2C transcript variant X3
106097287	LOC106097287	uncharacterized LOC106097287
106097288	LOC106097288	piggyBac transposable element-derived protein 4
106097289	LOC106097289	uncharacterized LOC106097289%2C transcript variant X1
106097293	LOC106097293	uncharacterized LOC106097293
106097295	LOC106097295	uncharacterized LOC106097295%2C transcript variant X2
106097297	LOC106097297	uncharacterized LOC106097297
106097298	LOC106097298	uncharacterized LOC106097298
106097299	LOC106097299	uncharacterized LOC106097299
106097302	LOC106097302	uncharacterized LOC106097302%2C transcript variant X1
106097303	LOC106097303	uncharacterized LOC106097303
106097305	LOC106097305	uncharacterized LOC106097305%2C transcript variant X1
106097306	LOC106097306	uncharacterized LOC106097306%2C transcript variant X2
106097308	LOC106097308	Fc receptor-like protein 5
106097310	LOC106097310	Fc receptor-like protein 5
106097313	LOC106097313	NACHT%2C LRR and PYD domains-containing protein 12-like
106097315	LOC106097315	uncharacterized LOC106097315
106097316	LOC106097316	uncharacterized LOC106097316
106097319	LOC106097319	heat shock 70 kDa protein 12A-like
106097320	LOC106097320	NACHT%2C LRR and PYD domains-containing protein 12-like
106097322	LOC106097322	uncharacterized LOC106097322%2C transcript variant X4
106097324	LOC106097324	uncharacterized LOC106097324
106097326	LOC106097326	uncharacterized LOC106097326
106097327	LOC106097327	uncharacterized LOC106097327%2C transcript variant X3
106097328	LOC106097328	uncharacterized LOC106097328%2C transcript variant X2
106097329	LOC106097329	uncharacterized LOC106097329
106097330	LOC106097330	uncharacterized LOC106097330
106097331	LOC106097331	uncharacterized LOC106097331
106097332	LOC106097332	uncharacterized LOC106097332
106097333	LOC106097333	uncharacterized LOC106097333
106097334	LOC106097334	myelin-oligodendrocyte glycoprotein%2C transcript variant X2
106097336	LOC106097336	myomesin-3-like
106097337	LOC106097337	uncharacterized LOC106097337%2C transcript variant X2
106097338	LOC106097338	uncharacterized LOC106097338
106097339	LOC106097339	uncharacterized LOC106097339
106097341	LOC106097341	uncharacterized LOC109199600%2C transcript variant X2
106097342	LOC106097342	uncharacterized LOC106097342
106097345	LOC106097345	CD209 antigen-like protein C
106097346	LOC106097346	zinc finger BED domain-containing protein 1
106097348	LOC106097348	uncharacterized LOC106097348%2C transcript variant X1
106097350	LOC106097350	uncharacterized LOC106097350
106097354	LOC106097354	uncharacterized LOC106097354
106097355	LOC106097355	signal-regulatory protein beta-2-like
106097356	LOC106097356	uncharacterized LOC106097356
106097357	LOC106097357	uncharacterized LOC106097357%2C transcript variant X2
106097358	LOC106097358	uncharacterized LOC106097358
106097359	LOC106097359	uncharacterized LOC106097359
106097360	LOC106097360	uncharacterized LOC106097360
106097364	LOC106097364	Ig heavy chain V region PJ14-like
106097366	LOC106097366	uncharacterized LOC106097366
106097367	LOC106097367	uncharacterized LOC106097367
106097369	LOC106097369	uncharacterized LOC106097369
106097372	LOC106097372	uncharacterized LOC106097372
106097376	LOC106097376	uncharacterized LOC106097376
106097377	LOC106097377	nuclear factor 7%2C brain
106097378	LOC106097378	uncharacterized LOC106097378
106097380	LOC106097380	uncharacterized LOC106097380
106097381	LOC106097381	uncharacterized LOC106097381
106097384	LOC106097384	uncharacterized LOC106097384%2C transcript variant X1
106097385	LOC106097385	uncharacterized LOC106097385
106097386	LOC106097386	alpha-2-macroglobulin
106097387	LOC106097387	uncharacterized LOC106097387
106097389	LOC106097389	protein NLRC3-like
